"school_name";"koreaS_code";"school_code"
"매화초등학교";"J10";7611043
"명당초등학교";"J10";7541136
"명덕초등학교";"J10";7761025
"명륜여자중학교";"J10";7761011
"명문고등학교";"J10";7530628
"명인중학교";"J10";7541020
"명인초등학교";"J10";7541137
"명학초등학교";"J10";7569020
"명현학교";"J10";7530509
"명혜학교";"J10";7530426
"모가중학교";"J10";7741005
"모당초등학교";"J10";7621185
"모락고등학교";"J10";7531108
"모락중학교";"J10";7642073
"모락초등학교";"J10";7642077
"모현중학교";"J10";7751024
"모현초등학교";"J10";7751080
"목감고등학교";"J10";7531370
"목감초등학교";"J10";7781030
"목동초등학교";"J10";7721012
"목암중학교";"J10";7621010
"목암초등학교";"J10";7621041
"무봉초등학교";"J10";7679336
"무원고등학교";"J10";7530064
"무원중학교";"J10";7621018
"무원초등학교";"J10";7621060
"문기초등학교";"J10";7761026
"문발초등학교";"J10";7681106
"문산고등학교";"J10";7530065
"문산동중학교";"J10";7681013
"문산동초등학교";"J10";7681038
"문산북중학교";"J10";7681005
"문산수억고등학교";"J10";7531236
"문산수억중학교";"J10";7681123
"문산제일고등학교";"J10";7530630
"문산중학교";"J10";7681006
"문산초등학교";"J10";7681037
"문시중학교";"J10";7679284
"문시초등학교";"J10";7679280
"문원초등학교";"J10";7569018
"문장초등학교";"J10";7661024
"문정중학교";"J10";7751025
"문촌초등학교";"J10";7621061
"문화초등학교";"J10";7621062
"미곡초등학교";"J10";7761027
"미금중학교";"J10";7652076
"미사강변고등학교";"J10";7531244
"미사강변중학교";"J10";7692124
"미사강변초등학교";"J10";7692122
"미사고등학교";"J10";7531163
"미사중앙초등학교";"J10";7692127
"미사중학교";"J10";7692129
"미사초등학교";"J10";7692123
"미양초등학교";"J10";7761028
"미원초등학교";"J10";7721013
"민락중학교";"J10";7561005
"민락초등학교";"J10";7561043
"민백초등학교";"J10";7569021
"박달중학교";"J10";7569192
"박달초등학교";"J10";7569022
"반석초등학교";"J10";7679026
"반송고등학교";"J10";7530847
"반송중학교";"J10";7679108
"반송초등학교";"J10";7679027
"반월중학교";"J10";7611013
"반월초등학교";"J10";7611044
"반지초등학교";"J10";7631123
"발곡고등학교";"J10";7530933
"발곡중학교";"J10";7561006
"발곡초등학교";"J10";7561025
"발산중학교";"J10";7621019
"발안바이오과학고등학교";"J10";7530904
"발안중학교";"J10";7679109
"발안초등학교";"J10";7679028
"밝은학교";"J10";7530427
"방교중학교";"J10";7679365
"방교초등학교";"J10";7679366
"방일초등학교";"J10";7721014
"방초초등학교";"J10";7761029
"배곧고등학교";"J10";7531246
"배곧누리초등학교";"J10";7781158
"배곧라온초등학교";"J10";7781150
"배곧중학교";"J10";7781136
"배곧초등학교";"J10";7781137
"배곧한울초등학교";"J10";7781148
"배곧해솔중학교";"J10";7781160
"배곧해솔초등학교";"J10";7781151
"배다리초등학교";"J10";7631263
"배양초등학교";"J10";7679029
